"﻿Für inaktive Angebote und Kampagnen sind einige Angaben nicht verfügbar."
""
"Startdatum";"Enddatum";"Name der Kampagne";"Kampagnen-ID";"Startdatum der Kampagne";"Enddatum der Kampagne";"Status  ";"Artikelnr.";"Titel";"Angebotsformat";"Preis (aktueller oder zuletzt angegebener)";"Verfügbare Stückzahl";"Angebotsstart";"Angebotsende";"Anzeigen-Impressions (über Platzierungen bei eBay)";"Anzeigen-Klicks insgesamt";"Verkauft mit Anzeigen - Gesamtstückzahl";"Organisch verkauft - Stückzahl";"Verkauft - Gesamtstückzahl";"Anzeigen-Konversionsrate (Verkauft mit Anzeigen - Stückzahl/Anzeigen-Klicks)";"Anzeigen-Verteilung (Verkauft mit Anzeigen - Stückzahl/Verkauft - Gesamtstückzahl)";"Gesamtumsatz mit Anzeigen";"Anzeigengebühren (ohne MwSt.)";"Rentabilität der Anzeigenkosten (Umsatz/Anzeigengebühren (ohne MwSt.))";"Durchschn. Kosten pro Verkauf";"Anzeigen-Klicks (über Platzierungen bei eBay)";"Anzeigen-Klicks (über externe Platzierungen)";"Mit Anzeigen verkaufte Stückzahl (über Platzierungen bei eBay)";"Mit Anzeigen verkaufte Stückzahl (über externe Platzierungen)";"Anzeigen-Umsatz (über Platzierungen bei eBay)";"Anzeigen-Umsatz (über externe Platzierungen)";"Anzeigengebühren ohne MwSt. (über Platzierungen bei eBay)";"Anzeigengebühren ohne MwSt. (über externe Platzierungen)";"Anzeigen-Konversionsrate (über Platzierungen bei eBay)";"Anzeigen-Konversionsrate (über externe Platzierungen)";"Organische Klicks";"Organische Impressions"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285939472289";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"7";"27"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285766207812";"";"";"";"";"";"";"26997";"60";"7";"5";"12";"11,67%";"58,33%";"138,95 €";"11,10 €";"12,52";"1,59 €";"58";"2";"7";"0";"138,95 €";"0,00 €";"11,10 €";"0,00 €";"12,07%";"0,00%";"106";"10969"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284495238428";"";"";"";"";"";"";"4811";"14";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"14";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"12";"1898"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285927338927";"";"";"";"";"";"";"144812";"363";"4";"1";"5";"1,10%";"80,00%";"400,90 €";"36,88 €";"10,87";"9,22 €";"356";"7";"4";"0";"400,90 €";"0,00 €";"36,88 €";"0,00 €";"1,12%";"0,00%";"177";"28658"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285685430604";"";"";"";"";"";"";"52099";"479";"110";"18";"128";"22,96%";"85,94%";"3.258,60 €";"260,66 €";"12,50";"2,37 €";"347";"132";"82";"28";"2.432,24 €";"826,36 €";"194,57 €";"66,09 €";"23,63%";"21,21%";"174";"58732"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285405038387";"";"";"";"";"";"";"0";"0";"0";"";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"0";""
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"284794259185";"";"";"";"";"";"";"103820";"293";"23";"3";"26";"7,85%";"88,46%";"251,67 €";"17,63 €";"14,28";"0,77 €";"291";"2";"23";"0";"251,67 €";"0,00 €";"17,63 €";"0,00 €";"7,90%";"0,00%";"190";"85984"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285369564426";"";"";"";"";"";"";"49964";"153";"5";"3";"8";"3,27%";"62,50%";"781,36 €";"70,34 €";"11,11";"14,07 €";"149";"4";"5";"0";"781,36 €";"0,00 €";"70,34 €";"0,00 €";"3,36%";"0,00%";"116";"10344"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285032407750";"";"";"";"";"";"";"0";"0";"0";"";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"0";""
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285741276004";"";"";"";"";"";"";"593022";"10269";"2";"0";"2";"0,02%";"100,00%";"2.202,61 €";"264,32 €";"8,33";"132,16 €";"4645";"5624";"1";"1";"766,46 €";"1.436,15 €";"91,98 €";"172,34 €";"0,02%";"0,02%";"6446";"270682"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285280049703";"";"";"";"";"";"";"10284";"33";"0";"1";"1";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"25";"8";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"45";"6252"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285677554375";"";"";"";"";"";"";"58906";"203";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"188";"15";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"58";"5657"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286276114096";"";"";"";"";"";"";"6718";"12";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"12";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"11";"6571"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286300850118";"";"";"";"";"";"";"87";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"0";"23"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285927353860";"";"";"";"";"";"";"10127";"60";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"55";"5";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"65";"4237"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286456165335";"";"";"";"";"";"";"633";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"5";"72"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285122536848";"";"";"";"";"";"";"6269";"20";"0";"1";"1";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"18";"2";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"7";"1291"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285685353911";"";"";"";"";"";"";"3824";"7";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"7";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"7";"2020"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284919700475";"";"";"";"";"";"";"1263";"2";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"2";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"3";"1624"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285444382454";"";"";"";"";"";"";"28391";"40";"0";"3";"3";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"35";"5";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"88";"14573"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285919649821";"";"";"";"";"";"";"5553";"27";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"26";"1";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"23";"1302"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"286088500539";"";"";"";"";"";"";"97560";"358";"15";"4";"19";"4,19%";"78,95%";"398,90 €";"35,94 €";"11,10";"2,40 €";"354";"4";"15";"0";"398,90 €";"0,00 €";"35,94 €";"0,00 €";"4,24%";"0,00%";"279";"62161"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285846355141";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"16";"45"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"284918617441";"";"";"";"";"";"";"7326";"26";"3";"2";"5";"11,54%";"60,00%";"51,59 €";"3,61 €";"14,29";"1,20 €";"26";"0";"3";"0";"51,59 €";"0,00 €";"3,61 €";"0,00 €";"11,54%";"0,00%";"24";"5503"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285156463888";"";"";"";"";"";"";"108819";"264";"41";"21";"62";"15,53%";"66,13%";"260,35 €";"13,95 €";"18,66";"0,34 €";"263";"1";"41";"0";"260,35 €";"0,00 €";"13,95 €";"0,00 €";"15,59%";"0,00%";"262";"127975"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285549706215";"";"";"";"";"";"";"69866";"222";"7";"1";"8";"3,15%";"87,50%";"590,75 €";"70,89 €";"8,33";"10,13 €";"219";"3";"7";"0";"590,75 €";"0,00 €";"70,89 €";"0,00 €";"3,20%";"0,00%";"67";"17334"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284495254085";"";"";"";"";"";"";"12632";"45";"4";"5";"9";"8,89%";"44,44%";"12,70 €";"1,29 €";"9,84";"0,32 €";"42";"3";"4";"0";"12,70 €";"0,00 €";"1,29 €";"0,00 €";"9,52%";"0,00%";"54";"11356"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285689848322";"";"";"";"";"";"";"57088";"153";"15";"1";"16";"9,80%";"93,75%";"337,50 €";"27,00 €";"12,50";"1,80 €";"107";"46";"7";"8";"157,50 €";"180,00 €";"12,60 €";"14,40 €";"6,54%";"17,39%";"76";"36120"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284897470386";"";"";"";"";"";"";"2752";"11";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"11";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"11";"1640"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286228874877";"";"";"";"";"";"";"5923";"8";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"8";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"30";"1837"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284365523520";"";"";"";"";"";"";"109828";"100";"0";"7";"7";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"100";"0";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"35";"7595"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285674152468";"";"";"";"";"";"";"73815";"580";"31";"7";"38";"5,34%";"81,58%";"680,90 €";"65,45 €";"10,40";"2,11 €";"273";"307";"20";"11";"438,90 €";"242,00 €";"43,89 €";"21,56 €";"7,33%";"3,58%";"216";"44443"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285895733796";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"18";"18"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285688246891";"";"";"";"";"";"";"0";"0";"0";"";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"0";""
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285768667434";"";"";"";"";"";"";"421776";"647";"76";"26";"102";"11,75%";"74,51%";"1.100,58 €";"110,06 €";"10,00";"1,45 €";"628";"19";"76";"0";"1.100,58 €";"0,00 €";"110,06 €";"0,00 €";"12,10%";"0,00%";"314";"103299"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285674134398";"";"";"";"";"";"";"10307";"36";"3";"0";"3";"8,33%";"100,00%";"125,75 €";"11,95 €";"10,52";"3,98 €";"35";"1";"3";"0";"125,75 €";"0,00 €";"11,95 €";"0,00 €";"8,57%";"0,00%";"25";"2822"
